institution_name,year,country_code,ass_total,ass_trade,inc_trade,in_roa,rt_rwa,in_roe,in_trade,
Münchener Hypothekenbank eG,2013,DE,"34898,52","5049,124",0,"0,0004642","0,2066348372","0,0181976",0,
Münchener Hypothekenbank eG,2014,DE,"36340,1","4577,583",0,"0,000588","0,206845881","0,0169847",0,
Münchener Hypothekenbank eG,2015,DE,"38098,78","4880,355",0,"0,0012582","0,1489365276","0,0397681",0,
Volksbank Pforzheim eG,2010,DE,"2498,697","1284,064",0,"0,004588",,"0,0817794",0,
Volksbank Pforzheim eG,2011,DE,"2636,319","1364,922",0,"0,007438",,"0,1224506",0,
Volksbank Pforzheim eG,2012,DE,"2673,753","1439,218",0,"0,0059396",,"0,0941264",0,
Volksbank Pforzheim eG,2013,DE,2743,"1481,348",0,"0,0070306",,"0,0940658",0,
VR Bank Neuburg-Rain eG,2010,DE,"699,414","260,467",0,"0,0032513",,"0,0517135",0,
VR Bank Neuburg-Rain eG,2011,DE,"717,556","271,649",0,"0,0051675",,"0,0839693",0,
VR Bank Neuburg-Rain eG,2012,DE,"747,214","291,941",0,"0,006816",,"0,099213",0,
VR Bank Neuburg-Rain eG,2013,DE,"752,374","285,551",0,"0,0070776","0,5943360616","0,090268",0,
VR Bank Neuburg-Rain eG,2014,DE,"783,658","297,452",0,"0,0079652","0,5582703169","0,0904533",0,
VR Bank Neuburg-Rain eG,2015,DE,"798,714","288,582",0,"0,0080492","0,5625568101","0,0847706",0,
Debeka Bausparkasse AG,2010,DE,"9779,199","1184,337",,"0,0045378","0,4680636932","0,1164132",,
Debeka Bausparkasse AG,2011,DE,"9422,239","1063,587",,"0,0039798","0,4671129654","0,0882334",,
Debeka Bausparkasse AG,2012,DE,"9347,19","1188,207",,"0,0027802","0,4655142348","0,0558634",,
Debeka Bausparkasse AG,2013,DE,"9131,799","1283,49",,"0,0013945","0,4689656441","0,0268782",,
Debeka Bausparkasse AG,2014,DE,"8924,528","1268,602",,"0,0003522","0,4412978479","0,0066241",,
Debeka Bausparkasse AG,2015,DE,"8769,896","1140,708",,"0,0002618","0,4279070128","0,0048258",,
Volksbank Lübbecker Land eG,2010,DE,"935,496","264,421","0,012","0,0055265","0,6142067951","0,0534019","0,0003095",
Volksbank Lübbecker Land eG,2011,DE,"996,44","262,513","0,002","0,0058017","0,6143370399","0,0560142","0,0000522",
Volksbank Lübbecker Land eG,2012,DE,"970,813","246,401","-0,069","0,005551","0,6240130695","0,0491666","-0,0018913",
Volksbank Lübbecker Land eG,2013,DE,"979,559","284,057","-0,003","0,007143","0,655308154","0,0594013","-0,0000793",
Volksbank Lübbecker Land eG,2014,DE,"1050,745","255,393",0,"0,004611","0,6137902155","0,0386768",0,
Volksbank Lübbecker Land eG,2015,DE,"1078,675","272,528",0,"0,0059332",,"0,0484893",0,
Wiesbadener Volksbank eG,2010,DE,"3249,651","609,4379",,"0,0087268",,"0,0817941",,
Wiesbadener Volksbank eG,2011,DE,"3339,114","558,8331",,"0,0084726",,"0,0744234",,
Wiesbadener Volksbank eG,2012,DE,"3517,104","553,8391",,"0,00801","0,5643421406","0,0651269",,
Wiesbadener Volksbank eG,2013,DE,"3529,353","564,9281",,"0,0083403","0,5855146822","0,0634583",,
Wiesbadener Volksbank eG,2014,DE,"3653,223","609,3069",,"0,0088916","0,6247973365","0,0658068",,
Wiesbadener Volksbank eG,2015,DE,"3903,019","646,0941",,"0,0080264","0,6021098027","0,0599779",,
Berliner Volksbank eG,2006,DE,"10422,32","2607,624","0,363","0,0013378","0,6429489787","0,0264143","0,0010434",
Berliner Volksbank eG,2007,DE,"10317,5","3444,242","0,528","0,0015543","0,6565307487","0,0302134","0,0015464",
Berliner Volksbank eG,2008,DE,"9613,234","2818,425","0,046","0,0012499","0,6442408455","0,0228296","0,000146",
Berliner Volksbank eG,2009,DE,"9890,59","3706,854","0,043","0,0010341","0,637784298","0,0194861","0,0001302",
Berliner Volksbank eG,2010,DE,9250,,"-0,13","0,0019027","0,6456905946","0,0297255","-0,0003965",
Berliner Volksbank eG,2011,DE,9575,,"-0,304","0,0023319","0,6768812533","0,0359364","-0,0009247",
Berliner Volksbank eG,2012,DE,"9855,141","3051,317","0,018","0,0027532","0,6768688545","0,039236","0,0000481",
Berliner Volksbank eG,2013,DE,"10111,61","2824,987","0,039","0,0027281","0,6947039097","0,036196","0,0001053",
Berliner Volksbank eG,2014,DE,"10583,2","2702,397",0,"0,001796","0,6885203908","0,0236685",0,
Berliner Volksbank eG,2015,DE,"11681,27","2632,607",0,"0,0065098","0,6385405868","0,0779207",0,
