Période,Cluster,Nombre_banques,Pourcentage,ass_total_mean,ass_trade_mean,inc_trade_mean,in_roa_mean,rt_rwa_mean,in_roe_mean,in_trade_mean
Pré-crise,C1,1429,99.2%,14136.782588320504,4355.977120476137,2.2907419948915324,0.005549068299510147,0.6132800322963611,0.07394101035689293,0.004112889083275017
Pré-crise,C2,4,0.3%,740.88,205.673,1.67474025,-0.03225765,0.6002973888250001,-0.229785775,-0.043257850000000014
Pré-crise,C3,2,0.1%,77989.885,32980.485,-522.9055000000001,0.0005696499999999999,0.62635382485,-0.04384135,-15.26269
Pré-crise,C4,6,0.4%,1427361.1666666667,676670.0,5854.333333333333,0.005440383333333334,0.35893006738333333,0.11787341666666666,0.19582380000000002
Post-crise,C1,6695,98.3%,3240.505575472741,858.6831882697386,3.662906310201643,0.005282971769977595,0.5982501547848992,0.06129503150112024,0.033356240388349515
Post-crise,C2,104,1.5%,8326.564234423076,1955.9317573269232,21.257472356730773,-0.034114764423076926,0.6402512403269232,-0.44063460000000004,0.12159835384615386
Post-crise,C4,9,0.1%,1498704.6666666667,648330.8888888889,3592.6666666666665,0.0039016999999999993,0.30441949035555554,0.07849275555555554,0.12462442222222221
